MatchNumber|Date|Time|Venue|Stage|HomeTeam|AwayTeam
1|June 11, 2026|1:00 p.m.|Estadio Azteca, Mexico City|Group A|Mexico|South Africa
2|June 11, 2026|8:00 p.m.|Estadio Akron, Zapopan|Group A|South Korea|Czech Republic
3|June 12, 2026|3:00 p.m.|BMO Field, Toronto|Group B|Canada|Bosnia and Herzegovina
4|June 12, 2026|6:00 p.m.|SoFi Stadium, Inglewood|Group D|United States|Paraguay
5|June 13, 2026|9:00 p.m.|Gillette Stadium, Foxborough|Group C|Haiti|Scotland
6|June 13, 2026|9:00 p.m.|BC Place, Vancouver|Group D|Australia|Turkey
7|June 13, 2026|6:00 p.m.|MetLife Stadium, East Rutherford|Group C|Brazil|Morocco
8|June 13, 2026|12:00 p.m.|Levi's Stadium, Santa Clara|Group B|Qatar|Switzerland
9|June 14, 2026|7:00 p.m.|Lincoln Financial Field, Philadelphia|Group E|Ivory Coast|Ecuador
10|June 14, 2026|12:00 p.m.|NRG Stadium, Houston|Group E|Germany|Curaçao
11|June 14, 2026|3:00 p.m.|AT&T Stadium, Arlington|Group F|Netherlands|Japan
12|June 14, 2026|8:00 p.m.|Estadio BBVA, Guadalupe|Group F|Sweden|Tunisia
13|June 15, 2026|6:00 p.m.|Hard Rock Stadium, Miami Gardens|Group H|Saudi Arabia|Uruguay
14|June 15, 2026|12:00 p.m.|Mercedes-Benz Stadium, Atlanta|Group H|Spain|Cape Verde
15|June 15, 2026|6:00 p.m.|SoFi Stadium, Inglewood|Group G|Iran|New Zealand
16|June 15, 2026|12:00 p.m.|Lumen Field, Seattle|Group G|Belgium|Egypt
17|June 16, 2026|3:00 p.m.|MetLife Stadium, East Rutherford|Group I|France|Senegal
18|June 16, 2026|6:00 p.m.|Gillette Stadium, Foxborough|Group I|Iraq|Norway
19|June 16, 2026|8:00 p.m.|Arrowhead Stadium, Kansas City|Group J|Argentina|Algeria
20|June 16, 2026|9:00 p.m.|Levi's Stadium, Santa Clara|Group J|Austria|Jordan
